,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
334,Restaurant Negro Rojo,ChIJRU9koXqYpBIRShvEXWwHR9k,OPERATIONAL,"{'lat': 41.39093560000001, 'lng': 2.1352044}",4.2,3.0,2748,"Av. Diagonal, 640, Barcelona"
335,Las Muns,ChIJ4dsnzHqYpBIREK1CZBD7qXI,OPERATIONAL,"{'lat': 41.3899154, 'lng': 2.1354845}",4.6,1.0,410,"Av. Diagonal, 557, Local 166, Barcelona"
336,Ribera Manero,ChIJR2yMyXqYpBIR4xbJRVIKFko,OPERATIONAL,"{'lat': 41.3898664, 'lng': 2.1353391}",4.2,3.0,458,"Av. Diagonal, 557, Barcelona"
337,Indian Restaurant Shanti,ChIJAZLwTWWYpBIRYlgiaEFiI4U,OPERATIONAL,"{'lat': 41.3914547, 'lng': 2.1340148}",4.5,2.0,1118,"Carrer d'Agustina Saragossa, 3, 5, Barcelona"
338,Grill Corner Sarrià,ChIJRczGORSZpBIRs0y3rO0nOoc,OPERATIONAL,"{'lat': 41.3925995, 'lng': 2.1344166}",4.3,,487,"Carrer de Can Ràbia, 3, Barcelona"
339,Restaurante Sarrià 82,ChIJw6I3hW-YpBIRPPL6twQMIWk,OPERATIONAL,"{'lat': 41.3919751, 'lng': 2.1331608}",4.3,1.0,95,"Av. de Sarrià, 129, Barcelona"
340,Hamburguesa Nostra,ChIJZxT_OWWYpBIRQ3n9zJflwZ4,OPERATIONAL,"{'lat': 41.389807, 'lng': 2.1350507}",3.9,2.0,608,"Av. Diagonal, 557, Barcelona"
341,Fishhh! L'illa,ChIJR2yMyXqYpBIRG_S_Y71X-as,OPERATIONAL,"{'lat': 41.3898338, 'lng': 2.135173}",4.2,3.0,578,"Av. Diagonal, 557, Local 1/46, Barcelona"
342,MOSBO Diagonal,ChIJm4HfQWWYpBIRODfgZBjrw34,OPERATIONAL,"{'lat': 41.39061179999999, 'lng': 2.134053}",4.1,1.0,125,"Av. Diagonal, 646, Barcelona"
343,Buenas Migas,ChIJEbLQKHuYpBIR0FIDT3gJ2zk,OPERATIONAL,"{'lat': 41.3890438, 'lng': 2.1361881}",3.9,,1459,"Carrer de Déu i Mata, 69-95, Local 111, Barcelona"
344,Restaurant La Tagliatella,ChIJuaqqqnmYpBIR96fs94i_Y6M,OPERATIONAL,"{'lat': 41.3892636, 'lng': 2.1366596}",3.9,2.0,2511,"Av. Diagonal, 557, Local 1, Barcelona"
345,L'Angolo Italiano,ChIJm-HbM2WYpBIRNnpgCb4uDKQ,OPERATIONAL,"{'lat': 41.38964379999999, 'lng': 2.1349653}",4.0,2.0,522,"Mercat Rebost, Centro Comercial L'illa Diagonal, Av. Diagonal, 557, Barcelona"
346,Restaurant Bouquet,ChIJIX_1I3uYpBIR-rudezwyMTU,OPERATIONAL,"{'lat': 41.3885373, 'lng': 2.1360595}",4.0,1.0,382,"Carrer de Déu i Mata, 70, Barcelona"
347,Salad Market Entenza,ChIJFYXKDgSZpBIRVAKi0zRStk4,OPERATIONAL,"{'lat': 41.39044579999999, 'lng': 2.1377164}",5.0,1.0,24,"C/ d'Entença, 338, Barcelona"
348,Pizzamarket,ChIJnznDk3-ZpBIREjmic9vvP70,OPERATIONAL,"{'lat': 41.3899178, 'lng': 2.1355567}",4.4,,188,"Avinguda Diagonal, 569 Planta: -1 Local: 61 L'illa Diagonal, Av. Diagonal, 557, Local: 61, Barcelona"
349,Pans & Company,ChIJw8XVK2WYpBIRQFv4FUxGIcs,OPERATIONAL,"{'lat': 41.388954, 'lng': 2.133703}",3.7,1.0,1052,"Av. Diagonal, 557, Barcelona"
350,ÁNDELE L'illa Diagonal,ChIJ8dRB0nqYpBIRsEFDt6cv2t4,OPERATIONAL,"{'lat': 41.3894678, 'lng': 2.1352471}",3.9,2.0,1066,"Av. Diagonal, 557, Barcelona"
351,Restaurant Mercès,ChIJRzfrYnqYpBIRPBOKdV3a1vM,OPERATIONAL,"{'lat': 41.3905518, 'lng': 2.1377216}",4.4,,27,"Av. Diagonal, 541, Barcelona"
352,Gaig Barcelona,ChIJxUNniGWYpBIRRLODLxXKAhI,OPERATIONAL,"{'lat': 41.3913574, 'lng': 2.132092}",4.4,3.0,345,"Carrer de la Nau Santa Maria, 5, Barcelona"
353,Grill Corner Sarrià,ChIJRczGORSZpBIRs0y3rO0nOoc,OPERATIONAL,"{'lat': 41.3925995, 'lng': 2.1344166}",4.3,,487,"Carrer de Can Ràbia, 3, Barcelona"
354,Ikibana Sarrià,ChIJD1vjH3CYpBIRnM9zk7IglF0,OPERATIONAL,"{'lat': 41.392681, 'lng': 2.1352212}",4.2,4.0,2875,"Carrer del Dr. Fleming, 11, Barcelona"
355,Croma by Flash Restaurante,ChIJebMIMQ2ZpBIR9PMcepud-oM,OPERATIONAL,"{'lat': 41.39124049999999, 'lng': 2.1355987}",4.0,2.0,338,"Av. Diagonal, 640, Barcelona"
356,Restaurante Sarrià 82,ChIJw6I3hW-YpBIRPPL6twQMIWk,OPERATIONAL,"{'lat': 41.3919751, 'lng': 2.1331608}",4.3,1.0,95,"Av. de Sarrià, 129, Barcelona"
357,Indian Restaurant Shanti,ChIJAZLwTWWYpBIRYlgiaEFiI4U,OPERATIONAL,"{'lat': 41.3914547, 'lng': 2.1340148}",4.5,2.0,1118,"Carrer d'Agustina Saragossa, 3, 5, Barcelona"
358,Las Muns,ChIJ4dsnzHqYpBIREK1CZBD7qXI,OPERATIONAL,"{'lat': 41.3899154, 'lng': 2.1354845}",4.6,1.0,410,"Av. Diagonal, 557, Local 166, Barcelona"
359,Casa Carmen Illa,ChIJdRtHrfGZpBIRPzQlKYdJLVc,OPERATIONAL,"{'lat': 41.3910754, 'lng': 2.1358908}",3.7,2.0,3145,"Av. Diagonal, 640, Barcelona"
360,Ribera Manero,ChIJR2yMyXqYpBIR4xbJRVIKFko,OPERATIONAL,"{'lat': 41.3898664, 'lng': 2.1353391}",4.2,3.0,458,"Av. Diagonal, 557, Barcelona"
361,Can Buïgas,ChIJ14xfShyZpBIRvwsWDIM_LDk,OPERATIONAL,"{'lat': 41.3939779, 'lng': 2.1320144}",4.3,1.0,168,"Plaça d'Eguilaz, n9, Barcelona"
362,Taparazzi,ChIJZb_UzHGYpBIR03KP-fCsWIw,OPERATIONAL,"{'lat': 41.3937397, 'lng': 2.136073}",3.7,2.0,258,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona"
363,Hamburguesa Nostra,ChIJZxT_OWWYpBIRQ3n9zJflwZ4,OPERATIONAL,"{'lat': 41.389807, 'lng': 2.1350507}",3.9,2.0,608,"Av. Diagonal, 557, Barcelona"
364,Restaurant Carmel,ChIJKZ0y426YpBIRWh8EY5tYZQk,OPERATIONAL,"{'lat': 41.3944531, 'lng': 2.1323254}",4.3,,166,"Carrer de Buïgas, 26, Barcelona"
365,Ribs Doctor Fleming,ChIJFR88InCYpBIRFKYFzERvVkY,OPERATIONAL,"{'lat': 41.3934447, 'lng': 2.1356838}",3.6,2.0,2143,"Carrer del Dr. Fleming, 10, Barcelona"
366,Restaurant Negro Rojo,ChIJRU9koXqYpBIRShvEXWwHR9k,OPERATIONAL,"{'lat': 41.39093560000001, 'lng': 2.1352044}",4.2,3.0,2748,"Av. Diagonal, 640, Barcelona"
367,MOSBO Diagonal,ChIJm4HfQWWYpBIRODfgZBjrw34,OPERATIONAL,"{'lat': 41.39061179999999, 'lng': 2.134053}",4.1,1.0,125,"Av. Diagonal, 646, Barcelona"
368,Fishhh! L'illa,ChIJR2yMyXqYpBIRG_S_Y71X-as,OPERATIONAL,"{'lat': 41.3898338, 'lng': 2.135173}",4.2,3.0,578,"Av. Diagonal, 557, Local 1/46, Barcelona"
369,Salad Market Entenza,ChIJFYXKDgSZpBIRVAKi0zRStk4,OPERATIONAL,"{'lat': 41.39044579999999, 'lng': 2.1377164}",5.0,1.0,24,"C/ d'Entença, 338, Barcelona"
370,9Reinas Gourmet. Restaurant argentí,ChIJG8uI43CYpBIRYcdUjQKaYkI,OPERATIONAL,"{'lat': 41.3936739, 'lng': 2.1384925}",4.5,3.0,375,"C/ de Ganduxer, 28, Barcelona"
371,Restaurant El Nou,ChIJ0WgGr3GYpBIRkhC4ChBhS3k,OPERATIONAL,"{'lat': 41.3944509, 'lng': 2.1372271}",4.1,2.0,103,"C. de Santa Fe de Nou Mèxic, 15, Barcelona"
372,Asador del Mar,ChIJRaf1a3CYpBIRAt3XZ7cEi7U,OPERATIONAL,"{'lat': 41.3924501, 'lng': 2.1370119}",4.0,2.0,1876,"Carrer de Bori i Fontestà, 45, Barcelona"
373,Grill Corner Sarrià,ChIJRczGORSZpBIRs0y3rO0nOoc,OPERATIONAL,"{'lat': 41.3925995, 'lng': 2.1344166}",4.3,,487,"Carrer de Can Ràbia, 3, Barcelona"
374,Ribs Doctor Fleming,ChIJFR88InCYpBIRFKYFzERvVkY,OPERATIONAL,"{'lat': 41.3934447, 'lng': 2.1356838}",3.6,2.0,2143,"Carrer del Dr. Fleming, 10, Barcelona"
375,Ikibana Sarrià,ChIJD1vjH3CYpBIRnM9zk7IglF0,OPERATIONAL,"{'lat': 41.392681, 'lng': 2.1352212}",4.2,4.0,2875,"Carrer del Dr. Fleming, 11, Barcelona"
376,CREPNOVA FLEMING,ChIJuZnf2m-YpBIR6zncaluJlgs,OPERATIONAL,"{'lat': 41.3933132, 'lng': 2.1349797}",3.9,2.0,1434,"Carrer del Dr. Fleming, 15, Barcelona"
377,Taparazzi,ChIJZb_UzHGYpBIR03KP-fCsWIw,OPERATIONAL,"{'lat': 41.3937397, 'lng': 2.136073}",3.7,2.0,258,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona"
378,Qq,ChIJGeUOt02ZpBIRO20g-LIX7PE,OPERATIONAL,"{'lat': 41.3936683, 'lng': 2.1359275}",4.6,2.0,16,"C. de Santa Fe de Nou Mèxic, 4, Barcelona"
379,Restaurante Sarrià 82,ChIJw6I3hW-YpBIRPPL6twQMIWk,OPERATIONAL,"{'lat': 41.3919751, 'lng': 2.1331608}",4.3,1.0,95,"Av. de Sarrià, 129, Barcelona"
380,Can Buïgas,ChIJ14xfShyZpBIRvwsWDIM_LDk,OPERATIONAL,"{'lat': 41.3939779, 'lng': 2.1320144}",4.3,1.0,168,"Plaça d'Eguilaz, n9, Barcelona"
381,Frankfurts de Cine,ChIJscI0tHGYpBIR33pZ-395x0E,OPERATIONAL,"{'lat': 41.3936314, 'lng': 2.1358509}",3.3,1.0,236,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona"
382,Restaurant Carmel,ChIJKZ0y426YpBIRWh8EY5tYZQk,OPERATIONAL,"{'lat': 41.3944531, 'lng': 2.1323254}",4.3,,166,"Carrer de Buïgas, 26, Barcelona"
383,Restaurant Bella's,ChIJBexatumZpBIR44LhXGznY4Y,OPERATIONAL,"{'lat': 41.3911333, 'lng': 2.1360658}",3.8,2.0,1720,"Av. Diagonal, 640, Barcelona"
384,La Burguesa Garden,ChIJc5WJMG6YpBIRQuh_4s3dwGU,OPERATIONAL,"{'lat': 41.3945723, 'lng': 2.1344283}",4.0,1.0,510,"Carrer del Dr. Fleming, 25, Local 5, Barcelona"
