,name,place_id,business_status,raiting,price_level,total_reviews,direction,latitud,longitud,neightbour
47,L'Home dels Nassos,ChIJzf6lXYiYpBIRhuIKAGaGvcA,OPERATIONAL,4.9,,303,"Carrer de Melcior de Palau, 62, Barcelona",41.3794222,2.1338611,Sants
48,INKA 3 Restaurante Peruano en Barcelona,ChIJyQfhYV2ZpBIR_L8bc1dM-sI,OPERATIONAL,4.6,,129,"C/ de Galileu, 85, Barcelona",41.37798919999999,2.1348265,Sants
49,Restaurant Bodega de Tapas,ChIJjQSXZYaYpBIRqOV52Gz9wl4,OPERATIONAL,3.9,,409,"Pg. de Sant Antoni, 23, Barcelona",41.3772436,2.1371217,Sants
50,Restaurant Racó del Nord,ChIJy-ZcyYmYpBIREck48On3tiE,OPERATIONAL,4.2,2.0,917,"C/ de Joan Güell, 107, Barcelona",41.3805702,2.1323802,Sants
51,Restaurante O'noso,ChIJw_FUO4iYpBIRu-SzuS1stj4,OPERATIONAL,4.3,1.0,63,"C/ de Galileu, 173, Barcelona",41.3808995,2.1336113,Sants
52,Sants Es Crema,ChIJ3S3aiYeYpBIRRrbmIGfVNmY,OPERATIONAL,4.2,3.0,799,"Carrer dels Comtes de Bell-Lloc, 118, Barcelona",41.38143669999999,2.136813800000001,Sants
53,La Mundana,ChIJ-5mq8IeYpBIRKTqCUWV5BAg,OPERATIONAL,4.5,2.0,2057,"Carrer del Vallespir, 93, Barcelona",41.3811259,2.1358199,Sants
54,Olivos Comida y Vinos,ChIJdddVPoiYpBIRH-u56MmnugE,OPERATIONAL,4.8,2.0,436,"C/ de Galileu, 159, Barcelona",41.380405,2.1338305,Sants
55,Mamma Lucia,ChIJM9eVPIiYpBIRUjU42p7nkjM,OPERATIONAL,4.4,1.0,658,"C/ de Galileu, 169, Barcelona",41.3807222,2.1336707,Sants
56,Restaurante Metropolitan Galileo,ChIJa2JM2O-ZpBIRL8SroAFEiwg,OPERATIONAL,4.9,,10,"C/ de Galileu, 186 - Interior, Barcelona",41.3815581,2.1334279,les Corts
57,Taverna la bauxa,ChIJ04bKVYaYpBIRgrNfBtZlM7I,OPERATIONAL,4.6,1.0,632,"Carrer del Vallespir, 23, Barcelona",41.3786703,2.1374851,Sants
58,O'Rincón da Terra,ChIJia8OBoeYpBIR-SxY_ryPuW4,OPERATIONAL,4.1,1.0,960,"Carrer dels Comtes de Bell-Lloc, 51, Barcelona",41.3794372,2.1379446,Sants
59,Santa Burg,ChIJkTjeu4eYpBIRaYZRrUP3Bkc,OPERATIONAL,4.2,2.0,1787,"Carrer del Vallespir, 51, Barcelona",41.379727,2.1367631,Sants
60,Macot | Bar a Vins,ChIJ_xiSEoiYpBIRTFm_hESJYy0,OPERATIONAL,4.6,2.0,274,"C. de Violant d'Hongria Reina d'Aragó, 150, Barcelona",41.3803785,2.1346846,Sants
61,Restaurante El Rebost de Vallespir,ChIJSaU7s2KYpBIRFfxguajgjNo,OPERATIONAL,4.0,1.0,116,"Carrer del Vallespir, 123, Barcelona",41.3822637,2.1349162,les Corts
62,Maison du gourmet,ChIJo_hqYX2YpBIRsiCnpd7rYPk,OPERATIONAL,3.9,1.0,128,"Carrer dels Comtes de Bell-Lloc, 132, Barcelona",41.3816734,2.1366554,Sants
63,Restaurante Secreto Mediterráneo,ChIJCb5tXFeZpBIRl1_gLIZP4BU,OPERATIONAL,4.9,,137,"Carrer de Fígols, 34, Barcelona",41.3819554,2.1314834,les Corts
