,name,place_id,business_status,raiting,price_level,total_reviews,direction,latitud,longitud,neightbour
734,El Restaurant de Xavi,ChIJOcNysYCipBIREYEP79XnvIM,OPERATIONAL,3.7,,32,"C/ de Rocafort, 165, Barcelona",41.3820045,2.1495559,la Nova Esquerra de l'Eixample
735,Ibérico & Thai,ChIJ14zkiICipBIR-nlxE2EXuKM,OPERATIONAL,4.1,1.0,210,"C/ d'Entença, 140, Barcelona",41.3819831,2.1476797,la Nova Esquerra de l'Eixample
736,El Changarrito,ChIJ6V3gFYGipBIR4sipXbQH0rc,OPERATIONAL,4.5,,420,"Carrer de Calàbria, 206, Barcelona",41.3846832,2.1486623,la Nova Esquerra de l'Eixample
737,Restaurante Raconet,ChIJ6V3gFYGipBIRydu9M9hTx9s,OPERATIONAL,3.0,,1,"Carrer de Calàbria, 206, Barcelona",41.384675,2.1486516,la Nova Esquerra de l'Eixample
738,Yogi Bar,ChIJEWmc74CipBIRwuuueVz4jQA,OPERATIONAL,4.5,1.0,301,"C/ de Rocafort, 185, Barcelona",41.3831308,2.1480182,la Nova Esquerra de l'Eixample
739,Soban,ChIJBZ3guIGipBIRBEeD4ATcJO4,OPERATIONAL,4.3,2.0,813,"C/ de Rocafort, 204, Barcelona",41.3847359,2.1464546,la Nova Esquerra de l'Eixample
740,Stelar barcelona,ChIJVbM_GXejpBIRQapMsCUAgTo,OPERATIONAL,3.7,,25,"Carrer de Calàbria, 209, Barcelona",41.3851241,2.1473457,la Nova Esquerra de l'Eixample
741,Shingané,ChIJnbcdhoGipBIRBEN8mDBNrgI,OPERATIONAL,4.4,1.0,984,"Carrer de Calàbria, 232, Barcelona",41.385992,2.146962,la Nova Esquerra de l'Eixample
742,Nova Galiza,ChIJiQQFA76jpBIR0GuegNcd3yY,OPERATIONAL,3.8,,243,"Carrer de Calàbria, 224, Barcelona",41.3853416,2.1477307,la Nova Esquerra de l'Eixample
743,Bar Vila Verd,ChIJk3JDa4GipBIRcFvinZMtnfo,OPERATIONAL,4.0,1.0,28,"C/ de Provença, 65, Barcelona",41.38502150000001,2.1484045,la Nova Esquerra de l'Eixample
744,Un Bocado,ChIJAZiqygujpBIRj9uzBq4RqyQ,OPERATIONAL,4.4,2.0,2433,"C. de Viladomat, 259, Barcelona",41.3866366,2.1477892,la Nova Esquerra de l'Eixample
745,Melrose Dumpling House,ChIJdxalPYGipBIR986fvRa3GZ4,OPERATIONAL,4.2,,216,"Carrer de Calàbria, 204 Bis, Barcelona",41.3845813,2.148776,la Nova Esquerra de l'Eixample
746,Restaurante EL SOT,ChIJ8aNxJS6jpBIRa8xVkTtDHNw,OPERATIONAL,4.1,,171,"Carrer del Comte d'Urgell, 224, Barcelona",41.3892828,2.1493744,l'Antiga Esquerra de l'Eixample
747,Bcn Brunch,ChIJN_o60ASjpBIRr09K5qbOjSw,OPERATIONAL,4.5,,75,"C/ del Comte Borrell, 292, Barcelona",41.3894959,2.1468278,la Nova Esquerra de l'Eixample
748,Timesburg Paris,ChIJ7-1G94KipBIRpQdGCHBCgAo,OPERATIONAL,4.2,2.0,2176,"C/ de París, 95, Barcelona",41.3891091,2.146853,la Nova Esquerra de l'Eixample
749,My Friend Coffee-brunch specialty coffee Halal,ChIJYyeF6qqjpBIR76osAo9HVBA,OPERATIONAL,5.0,,591,"C/ del Comte Borrell, 290, Barcelona",41.3894347,2.146962,la Nova Esquerra de l'Eixample
750,Restaurant BarcelonaMilano,ChIJbUMbTYOipBIRjsNStvsVNS0,OPERATIONAL,4.4,2.0,2355,"C. de Villarroel, 190, Barcelona",41.391104,2.149182,l'Antiga Esquerra de l'Eixample
751,JB Cheff,ChIJkRK04oKipBIRBslloOGKafc,OPERATIONAL,3.0,,1,"C/ de París, 101, 101, Barcelona",41.3893821,2.1473091,la Nova Esquerra de l'Eixample
752,Brunch & Munch,ChIJzUE6rVijpBIRtn9_j7v7YGs,OPERATIONAL,4.1,,608,"C/ de Londres, 54, Barcelona",41.39090969999999,2.1475702,l'Antiga Esquerra de l'Eixample
753,Élite_Restaurante Italiano Pizzería,ChIJZ9Qp54KipBIRJPy5KrJ1jbc,OPERATIONAL,4.4,,426,"Av. de Sarrià, 15, Barcelona",41.3898733,2.1469617,la Nova Esquerra de l'Eixample
754,La Desayuneria,ChIJK0uY2I6jpBIRHE7KrJe9K1s,OPERATIONAL,4.3,2.0,1500,"Carrer del Comte d'Urgell, 260, bajo 2, Barcelona",41.390681,2.147496,l'Antiga Esquerra de l'Eixample
755,LaBarra Westside - Restaurante Tapas,ChIJn9bGPIOipBIRp8ApGDRQYHk,OPERATIONAL,3.9,2.0,3699,"Carrer del Comte d'Urgell, 240, Barcelona",41.390429,2.147956,l'Antiga Esquerra de l'Eixample
756,Il Commendatore,ChIJIR-pyoKipBIR8e-hoEppWpM,OPERATIONAL,4.2,2.0,2230,"Carrer del Comte d'Urgell, 247, Barcelona",41.39122769999999,2.146214,l'Antiga Esquerra de l'Eixample
757,"Di...Vini Sapori Ristorante Enoteca, Wine Bar & Caffetteria",ChIJtzhcN52ipBIRioWsqjC_nQo,OPERATIONAL,4.3,,3,"C/ de Buenos Aires, 28, Barcelona",41.3918629,2.1466233,l'Antiga Esquerra de l'Eixample
758,Restaurant Somnis,ChIJE5Gxx5yipBIRubEtRNmVaW0,OPERATIONAL,5.0,,3,"C/ de Londres, 63, Barcelona",41.3919956,2.1483534,l'Antiga Esquerra de l'Eixample
759,The Real - Food Company & Sport Bar,ChIJtTkQotSjpBIR81cmp--QKn4,OPERATIONAL,3.1,,116,"C. de Villarroel, 255, Barcelona",41.3920142,2.1475155,l'Antiga Esquerra de l'Eixample
760,Hola Sushi Bar,ChIJm8xkLAijpBIRfSgxqv-OE4k,OPERATIONAL,4.8,,125,"Travessera de Gràcia, 8, Barcelona",41.3935366,2.1457567,Sant Gervasi - Galvany
761,COMO il ristorantino,ChIJ___TaZyipBIRVatYwtLT_n0,OPERATIONAL,4.5,2.0,549,"C/ de Muntaner, 231, Barcelona",41.3945265,2.148727,Sant Gervasi - Galvany
762,Fiser,ChIJcQUI7gijpBIRvuk2eFe9WJg,OPERATIONAL,4.6,2.0,308,"C/ de Muntaner, 248, Barcelona",41.3947393,2.1489247,Sant Gervasi - Galvany
763,PATRÓN,ChIJZ9PCF5yipBIR4UARKasX5kE,OPERATIONAL,4.0,2.0,4481,"Travessera de Gràcia, 44, Barcelona",41.3954496,2.1487716,Sant Gervasi - Galvany
764,Avenir gastrobar,ChIJhS7QfT-jpBIRYvSuQHwcvKE,OPERATIONAL,5.0,,17,"Carrer de l'Avenir, 42, Barcelona",41.3957327,2.1465555,Sant Gervasi - Galvany
765,Coure,ChIJjTMuTpyipBIRwZQTWO6wVp0,OPERATIONAL,4.5,2.0,479,"Passatge de Marimon, 20, Barcelona",41.3943944,2.1478944,Sant Gervasi - Galvany
766,UDON Travessera,ChIJ1fIFs52ipBIRQcsPhrU6RMs,OPERATIONAL,3.9,2.0,674,"Travessera de Gràcia, 30, Barcelona",41.39459,2.147407,Sant Gervasi - Galvany
767,Disío Cocina Italiana,ChIJTeARBfGjpBIRqlBQeMgQwIY,OPERATIONAL,4.9,,58,"Carrer de Marià Cubí, 96, Barcelona",41.3968658,2.1470388,Sant Gervasi - Galvany
768,Menajesales,ChIJVcXzTiujpBIRPtosKZLe0wQ,OPERATIONAL,0.0,,0,"C/ dels Madrazo, 66, Barcelona",41.3989179,2.1470759,Sant Gervasi - Galvany
769,Roma,ChIJUbUqIp-ipBIRNPkGWBRXMd0,OPERATIONAL,4.4,2.0,699,"Carrer d'Alfons XII, 41, Barcelona",41.39913809999999,2.1487237,Sant Gervasi - Galvany
770,Antigua,ChIJNc7xxZ6ipBIRnrVCrmxgS4g,OPERATIONAL,4.5,3.0,4655,"Carretera de, Carrer de Marià Cubí, 59, Barcelona",41.3979867,2.149266,Sant Gervasi - Galvany
771,Urban Burrito Bar BARCELONA,ChIJ61mgG_CjpBIRQyFnUNou8Uo,OPERATIONAL,2.2,,11,"C/ dels Madrazo, 68, Barcelona",41.3988351,2.1470252,Sant Gervasi - Galvany
772,El Volador,ChIJS9nvecyjpBIRMomwHvRcs90,OPERATIONAL,0.0,,0,"C/ d'Aribau, 265, Barcelona",41.3990855,2.1454657,Sant Gervasi - Galvany
773,Yiduó,ChIJs8NGyp-ipBIRdBNa_6RA5CQ,OPERATIONAL,4.3,1.0,1347,"C/ d'Aribau, 308, Barcelona",41.399059,2.146256,Sant Gervasi - Galvany
774,Bodega Molina 1950,ChIJ7cK0B8yjpBIRRyTe9rfqZ7s,OPERATIONAL,4.1,,238,"Plaça de Molina, 1, Barcelona",41.40126009999999,2.1467234,Sant Gervasi - Galvany
775,Parada 101 BCN,ChIJV69faS2jpBIRwHbgHyEWvOc,OPERATIONAL,4.4,,93,"Via Augusta, 101, Barcelona",41.4010123,2.1492854,Sant Gervasi - Galvany
776,Two Patties,ChIJ6136xJajpBIR9_8WG9XJK6E,OPERATIONAL,4.6,,184,"Carrer de Guillem Tell, 51, Barcelona",41.4016636,2.147672,el Putxet i el Farró
777,Ca l'Isabel,ChIJgc0_QtKjpBIR9q5khGb4Ckg,OPERATIONAL,4.9,,141,"C. de les Santjoanistes, 8-10, Barcelona",41.403376,2.1477845,el Putxet i el Farró
778,Creperia Krampus -Restaurant de crepes d'Autor Barri de Sant Gervasi,ChIJa0hfV6CipBIR3LtY5k3V_uQ,OPERATIONAL,4.4,2.0,856,"C/ de Saragossa, 89, Barcelona",41.4035289,2.1468858,el Putxet i el Farró
779,Le Diván,ChIJtxv5j6GipBIRSdzVwLdZb_U,OPERATIONAL,4.3,,295,"Carrer de Guillem Tell, 10, Barcelona",41.4031409,2.1492833,el Putxet i el Farró
780,El Petit Bangkok,ChIJfYU2UqCipBIRsHbrKjKNIgk,OPERATIONAL,4.5,1.0,1614,"Carrer de Vallirana, 29, Barcelona",41.4038339,2.1480434,el Putxet i el Farró
781,La Palmera,ChIJPbQoXqaipBIRCuDb_zUIrl8,OPERATIONAL,4.3,1.0,195,"Av. de Vallcarca, 30, Barcelona",41.40893,2.1487047,Vallcarca i els Penitents
782,FrankyFurt Barcelona,ChIJqXKrSGeZpBIRrBTUMGwx_SU,OPERATIONAL,5.0,,1,"Av. de la República Argentina, 17, Barcelona",41.4077207,2.1478524,el Putxet i el Farró
783,Restaurant Bona Tapa,ChIJKz_8kauipBIRrkNYiKXGlzE,OPERATIONAL,4.2,1.0,91,"Carrer de Duran i Borrell, 2, Barcelona",41.4178051,2.1493212,el Coll
784,Rostisseria La Cuineta,ChIJ1-z4jauipBIRx6G12hZI4d0,OPERATIONAL,4.4,,127,"Carrer de Duran i Borrell, 2, Barcelona",41.4177853,2.1493266,el Coll
785,AGRESTE de FABIO & ROSER,ChIJcUCGaquipBIRhw4i-zhtYD4,OPERATIONAL,4.6,2.0,1217,"Carrer de Funoses-Llussà, 2, Barcelona",41.419953,2.1487465,el Coll
786,Sabor 5 Doner Kebab Pizzeria,ChIJKZjopIKjpBIReSEj0yEHuAs,OPERATIONAL,3.2,,60,"Passeig de la Mare de Déu del Coll, 142, Barcelona",41.4198836,2.1490016,el Coll
787,Sher-e-Punjab,ChIJ3eUMvHmipBIRfqarE5WHfTE,OPERATIONAL,3.7,2.0,541,"Carrer de Mèxic, 17, Barcelona",41.3729764,2.1485117,el Poble-sec
788,Bodega Amposta,ChIJxQ-tMniipBIRM-cjyYTGWtI,OPERATIONAL,4.5,1.0,867,"Carrer d'Amposta, 1, Barcelona",41.3718776,2.1475018,la Font de la Guatlla
789,Pizzería Artesanal Divina Stefy,ChIJ6WGy_3iipBIR1uaavhprFKs,OPERATIONAL,4.1,1.0,426,"Gran Via de les Corts Catalanes, 351, Barcelona",41.37382280000001,2.1470127,Hostafrancs
790,Dehesa santa María creu coberta,ChIJ_Qfj3XiipBIRdnxXiutSFNM,OPERATIONAL,3.6,,17,"Carrer de la Creu Coberta, 33, Barcelona",41.3750227,2.1471611,Hostafrancs
791,Cinco Jotas Restaurant Les Arenas,ChIJVdr4VXmipBIRtrQnh2SBKsU,OPERATIONAL,4.0,,26,"Gran Via de les Corts Catalanes, 375, Barcelona",41.3760465,2.1496962,la Nova Esquerra de l'Eixample
792,PURA BRASA Arenas,ChIJYdiUA3yipBIR_AfP9qEHnLw,OPERATIONAL,4.1,2.0,2722,"Gran Via de les Corts Catalanes, 373, Barcelona",41.3762796,2.1501198,la Nova Esquerra de l'Eixample
793,"Restaurant La Tagliatella | CC. Las Arenas, Barcelona",ChIJteBarX6ipBIRRYygisKbcPs,OPERATIONAL,3.9,2.0,2274,"Gran Via de les Corts Catalanes, 373, 373 - 385, Barcelona",41.3764155,2.1497011,la Nova Esquerra de l'Eixample
794,Montse Verni Restaurant,ChIJ7fxBe36ipBIRB80O67sdd8I,OPERATIONAL,4.3,,64,"C. de Vilamarí, 80, Barcelona",41.3790464,2.1493778,la Nova Esquerra de l'Eixample
795,Craun Restaurant,ChIJUYB8XAejpBIRQXUcYikOLDI,OPERATIONAL,4.6,,72,"C/ d'Aragó, 67, Barcelona",41.3811249,2.1499567,la Nova Esquerra de l'Eixample
796,Taberna Gallega,ChIJ9T_Y_32ipBIRUog18Eom1n0,OPERATIONAL,3.9,1.0,616,"C/ d'Aragó, 67, Barcelona",41.3810703,2.1499407,la Nova Esquerra de l'Eixample
797,Bar Restaurante SOL,ChIJ01GQxYCipBIRFj9Ri5lZVYo,OPERATIONAL,4.3,,42,"C/ de València, 94, Barcelona",41.3826556,2.1502229,la Nova Esquerra de l'Eixample
798,Castroverde,ChIJDQKu8YCipBIRAx4FUfd2xd8,OPERATIONAL,4.2,1.0,122,"C/ de Mallorca, 35, Barcelona",41.3829291,2.1478882,la Nova Esquerra de l'Eixample
799,Restaurant Mallorca,ChIJ_2gSzIaipBIR2uT1UPig10I,OPERATIONAL,4.2,1.0,128,"C/ de Mallorca, 75, Barcelona",41.3846081,2.1501417,la Nova Esquerra de l'Eixample
800,City Doner Kebap,ChIJ0bCU-oCipBIRfHwMXYT1csk,OPERATIONAL,4.2,1.0,491,"C/ de Rocafort, Barcelona",41.3831871,2.147967,la Nova Esquerra de l'Eixample
801,Bar Cafeteria San Marcos,ChIJe3o-qIGipBIR-bRcCP0dorM,OPERATIONAL,4.2,,32,"C/ de Provença, 47, Barcelona",41.3842741,2.1474208,la Nova Esquerra de l'Eixample
802,Nuestra Brasa Garibaldi,ChIJUXgGM4KipBIRWqnM0Epwgco,OPERATIONAL,4.5,1.0,285,"C. de Viladomat, 267, Barcelona",41.3870075,2.1474164,la Nova Esquerra de l'Eixample
803,Sandra Restaurant,ChIJxXIAmYSipBIR6jtKo96ih8I,OPERATIONAL,4.3,1.0,197,"C/ de Còrsega, 182, Barcelona",41.3896081,2.1503933,l'Antiga Esquerra de l'Eixample
804,Big Al's - Real American Burgers - Barcelona,ChIJZ8vknISipBIRaaTMHMP-Vgw,OPERATIONAL,4.4,2.0,2195,"C/ de Còrsega, 178, Barcelona",41.3894344,2.1501142,l'Antiga Esquerra de l'Eixample
805,Restaurante chino Álex,ChIJg2JEfIOipBIRa-0Vk38yszk,OPERATIONAL,4.1,,168,"Bajos 08036, C/ de Còrsega, 170, Barcelona",41.38910569999999,2.1497454,l'Antiga Esquerra de l'Eixample
806,Restaurant O Retorninho 2,ChIJ07H-gISipBIRdjZBT9SCY10,OPERATIONAL,4.3,2.0,2155,"Carrer del Comte d'Urgell, 216, Barcelona",41.3887796,2.1500404,l'Antiga Esquerra de l'Eixample
807,Epic Burger,ChIJG31o-YKipBIRZDQKkeHj1uw,OPERATIONAL,0.0,,0,"C/ de París, 101, Barcelona",41.3894366,2.1473861,la Nova Esquerra de l'Eixample
808,Burger King,ChIJ6VUa4YKipBIR4J6x3RUwtm4,OPERATIONAL,3.6,1.0,2058,"Av. de Sarrià, 9, Barcelona",41.3898124,2.1473197,la Nova Esquerra de l'Eixample
809,Carbonara Alex,ChIJP9I9ycmjpBIRRTn1M1Y41cA,OPERATIONAL,0.0,,0,"Carrer del Comte d'Urgell, 252, Barcelona",41.3905261,2.1477037,l'Antiga Esquerra de l'Eixample
810,El Mexicà de Barcelona,ChIJEZwCS4OipBIR0XOgw_urKDY,OPERATIONAL,4.3,2.0,1140,"C. de Villarroel, 233, Barcelona",41.3910495,2.1487884,l'Antiga Esquerra de l'Eixample
811,Restaurante Mantis,ChIJJTW1ve-jpBIRciZusBCOZl0,OPERATIONAL,4.6,,64,"C/ de París, 145, Barcelona",41.3914126,2.1499932,l'Antiga Esquerra de l'Eixample
812,Gandul,ChIJ3XBvEf-jpBIReYYT-35fSuI,OPERATIONAL,4.7,,271,"C/ de Londres, 73, Barcelona",41.3923844,2.149062,l'Antiga Esquerra de l'Eixample
813,UnDécimo（Francesc Macià),ChIJT1q0yPWjpBIRt7YQj_r32Xc,OPERATIONAL,4.2,2.0,821,"C. de Villarroel, 220, local, Barcelona",41.3922765,2.147577,l'Antiga Esquerra de l'Eixample
814,GOAT Lounge & Restaurant,ChIJlxUWLlmjpBIRJdhUi_Z1oQs,OPERATIONAL,5.0,,20,"C/ de Casanova, 193, Barcelona",41.39264670000001,2.1488421,l'Antiga Esquerra de l'Eixample
815,BONAIRE 48,ChIJ8x6Y4ZyipBIRoVSY9gjUmDo,OPERATIONAL,4.1,,41,"C/ de Buenos Aires, 48, Barcelona",41.392809,2.1477902,l'Antiga Esquerra de l'Eixample
816,Restaurant bar Muntaner 215,ChIJ_yNnnpyipBIRCwrMelw8Nr8,OPERATIONAL,3.6,,14,"C/ de Muntaner, 215, Barcelona",41.3934341,2.1498556,l'Antiga Esquerra de l'Eixample
817,TAMAE BAR,ChIJpzYA9_-jpBIRh7l7VupRV0c,OPERATIONAL,4.4,,235,"C/ de Casanova, 262, Barcelona",41.3941176,2.1475759,Sant Gervasi - Galvany
818,Casa Jordi,ChIJs6YyTJyipBIRM7SuRI5ls38,OPERATIONAL,4.5,2.0,692,"Passatge de Marimon, 18, Barcelona",41.3944579,2.1477535,Sant Gervasi - Galvany
819,Grosso Napoletano,ChIJ9zzsErejpBIRtHRBSelgQdk,OPERATIONAL,4.0,2.0,1013,"C/ de Casanova, 209, Planta calle, Barcelona",41.3939555,2.1472496,Sant Gervasi - Galvany
820,Leche de Tigre,ChIJtYtwUSGjpBIR1apgiaMcg6A,OPERATIONAL,4.4,,1090,"C/ de Casanova, 262, Barcelona",41.3941176,2.1475759,Sant Gervasi - Galvany
821,Restaurante Essence,ChIJweKTZpyipBIR_EWBc-DmoDk,OPERATIONAL,0.0,,0,"Av. Diagonal, 570, Barcelona",41.3941993,2.1490158,Sant Gervasi - Galvany
822,Hisop,ChIJx2nrT5yipBIRcT4_prXJJck,OPERATIONAL,4.5,3.0,887,"Passatge de Marimon, 9, Barcelona",41.3944451,2.1480169,Sant Gervasi - Galvany
823,Buenas Migas,ChIJGYw0dpyipBIRLt9HlRlqnws,OPERATIONAL,4.3,1.0,840,"Carrer del Bon Pastor, 3, Barcelona",41.3944376,2.149783,Sant Gervasi - Galvany
824,Cuchara Club,ChIJ__97KpyipBIRG2T-HQyVlYU,OPERATIONAL,4.9,,14,"Carrer de l'Avenir, 29, Barcelona",41.3962463,2.1476344,Sant Gervasi - Galvany
825,Green's Aribau Restaurant & Drinks,ChIJqd8Lo4mjpBIRSoFcMdSGZX8,OPERATIONAL,3.8,2.0,641,"C/ d'Aribau, 242, Barcelona",41.39596160000001,2.1496165,Sant Gervasi - Galvany
826,Restaurant Ovo,ChIJNRLzJ5-ipBIRmoTmETm4cyw,OPERATIONAL,4.6,1.0,229,"Carrer de Laforja, 25, Barcelona",41.3987174,2.1492751,Sant Gervasi - Galvany
827,Tio bigotes,ChIJIf56euKjpBIRsZLtusLt2YI,OPERATIONAL,5.0,,22,"C/ d'Aribau, 280, Barcelona",41.397934,2.1474416,Sant Gervasi - Galvany
828,DI-OHH VERMUTERIA,ChIJp-4t6fyjpBIRTGlhybJtlb4,OPERATIONAL,4.7,,13,"Carrer de Moliné, 8, Barcelona",41.3985236,2.1478848,Sant Gervasi - Galvany
829,The Fish & Chips Shop,ChIJFytcnVO5Z0AR7p9v34b1iUY,OPERATIONAL,4.4,1.0,1349,"C/ de Balmes, 240, Barcelona",41.3993865,2.1504517,Sant Gervasi - Galvany
830,Restaurante Cafetería EL PILAR,ChIJY9dlR5-ipBIR4yQ6rlergt4,OPERATIONAL,4.3,1.0,239,"C/ de Balmes, 255, Barcelona",41.4000423,2.14907,Sant Gervasi - Galvany
831,Restaurante Barra Alta Barcelona,ChIJ9c5JxpiipBIRmzY14q5u2pQ,OPERATIONAL,4.6,2.0,836,"Carrer de Laforja, 11, Barcelona",41.399738,2.1505804,Sant Gervasi - Galvany
832,Habitual Cafè,ChIJA-aZB5-ipBIRKfu_G_8kiK8,OPERATIONAL,4.4,1.0,267,"C/ dels Madrazo, 54, Barcelona",41.3992651,2.1475332,Sant Gervasi - Galvany
833,Farró restaurant,ChIJ364Ea5SjpBIRA1CnB48yQvk,OPERATIONAL,4.7,,70,"Via Augusta, 98, Barcelona",41.4011798,2.1498422,el Putxet i el Farró
834,Repeat,ChIJFRjHmcujpBIRoUlkZ6Wj8LU,OPERATIONAL,4.9,,146,"C/ dels Madrazo, 32, Barcelona",41.40049,2.1491962,Sant Gervasi - Galvany
835,Bar Restaurant El Meu Poble,ChIJee-Wf6GipBIRt5La3O49RcE,OPERATIONAL,3.5,1.0,302,"Avinguda de la Riera de Cassoles, 29, Barcelona",41.4034931,2.1498067,el Putxet i el Farró
836,asagumo,ChIJB4uYUjmjpBIR5stm4UZk2T4,OPERATIONAL,4.8,2.0,624,"C/ de Saragossa, 42-44, Barcelona",41.4026386,2.1483777,el Putxet i el Farró
837,Bar Restaurant Cerveseria Paioli,ChIJI9AV4KOipBIR39JTpNwVAio,OPERATIONAL,4.5,,222,"Avinguda de la Riera de Cassoles, nº 55, Barcelona",41.4050676,2.1499629,el Putxet i el Farró
838,Restaurant priorat,ChIJ0XxPQ6qjpBIRboMghU-T01Y,OPERATIONAL,3.8,,13,"Avinguda de la Riera de Cassoles, 54, Barcelona",41.4051753,2.1503002,la Vila de Gràcia
839,Güelly sandwichpark,ChIJOWysT6-ipBIRB-PBz2M_lQQ,OPERATIONAL,4.7,1.0,323,"Av. del Coll del Portell, 77, Barcelona",41.4119622,2.1502042,la Salut
840,Can Ramon,ChIJg6ZyWauipBIRxA2i6PdfR8E,OPERATIONAL,4.3,1.0,409,"Carrer del Santuari, 5, Barcelona",41.4204188,2.1497023,el Carmel
841,Wok & More,ChIJEXqcRgajpBIRmUXUS4hi-IM,OPERATIONAL,1.0,,1,"Carrer d'Amposta, 42, Barcelona",41.3705958,2.1483766,la Font de la Guatlla
842,Jaipur Palace,ChIJ0yVevHmipBIRILhKhBE99Kc,OPERATIONAL,4.6,,5,"Carrer de Mèxic, 17, Barcelona",41.3729081,2.1484896,el Poble-sec
843,Frank4,ChIJWTVMTHmipBIRyQbhxazGeo4,OPERATIONAL,3.4,,390,"Gran Via de les Corts Catalanes, 373, 385, Barcelona",41.3760375,2.1491295,la Nova Esquerra de l'Eixample
844,RESTAURANTE UMO,ChIJoyjfMHmipBIRuG7p1CPVWtA,OPERATIONAL,4.2,,22,"Hotel Catalonia, Pl. d'Espanya, 6- 8, Barcelona",41.3757482,2.1482034,Hostafrancs
845,La Mama: Restaurante Brasileiro | Comida Brasileña | Comida de Brasil,ChIJe4Tzni6jpBIRWxxDCDHjkAA,OPERATIONAL,0.0,,0,"Pl. d'Espanya, Barcelona",41.3750289,2.1491173,el Poble-sec
846,laLola,ChIJBbPkSnmipBIRGZkdtGI7hiE,OPERATIONAL,3.9,2.0,6722,"Gran Via de les Corts Catalanes, 373, 385, Barcelona",41.3761742,2.1489477,la Nova Esquerra de l'Eixample
847,Kurai Restaurant Japonès,ChIJoyjfMHmipBIRkno0gOT7LDg,OPERATIONAL,4.4,,781,"C/ de Tarragona, 99, Barcelona",41.375739,2.1483363,Hostafrancs
848,Super Vegan,ChIJ0crptuKjpBIRx-vmbrnMAwY,OPERATIONAL,4.7,,985,"Gran Via de les Corts Catalanes, 373 Local, S19, Barcelona",41.3764477,2.1489188,la Nova Esquerra de l'Eixample
849,boka Arenas,ChIJ0Q0aLlqjpBIRU8Xvc8kphZ4,OPERATIONAL,3.9,,1092,"Gran Via de les Corts Catalanes, 373 local, S20, Barcelona",41.3761006,2.1492048,la Nova Esquerra de l'Eixample
850,Restaurant Arrosseria las Arenas,ChIJI6JSqH6ipBIRzl_YDIR9_yc,OPERATIONAL,4.4,2.0,4119,"C/ de Llança, 15, 21, Barcelona",41.3763123,2.1502651,la Nova Esquerra de l'Eixample
851,11 Nudos Terraza Nordés Barcelona,ChIJWY1Wsn6ipBIRrl7nWgpivHw,OPERATIONAL,4.0,,1839,"Gran Via de les Corts Catalanes, 373, 375, Barcelona",41.3765964,2.1492574,la Nova Esquerra de l'Eixample
852,El 90 Restaurante bar,ChIJ70te_uyjpBIRScjSiCMVC14,OPERATIONAL,4.3,,187,"C/ del Consell de Cent, 90, Barcelona",41.3799799,2.1511283,la Nova Esquerra de l'Eixample
853,El Ñano Restaurant,ChIJD9e3QoeipBIRUiH3EOkAWKo,OPERATIONAL,4.5,,152,"C/ d'Aragó, 91, Barcelona",41.3818924,2.1510395,la Nova Esquerra de l'Eixample
854,Piccolo,ChIJVxynVoeipBIRC2bNYaAx1cw,OPERATIONAL,4.4,2.0,152,"C/ de Rocafort, 130, Barcelona",41.38135,2.1508602,la Nova Esquerra de l'Eixample
855,Maritxu restaurante Vasco,ChIJ6ym_f5WjpBIR51lI17-3sbE,OPERATIONAL,4.9,1.0,121,"C/ d'Aragó, 60, Barcelona",41.3818567,2.1513388,la Nova Esquerra de l'Eixample
856,Mimos Pizzeria,ChIJVTdMB36ipBIRegQKmdK4p-I,OPERATIONAL,4.3,1.0,110,"C/ d'Aragó, 34, Barcelona",41.3808,2.1500243,la Nova Esquerra de l'Eixample
857,Can Vallès,ChIJHa-0aYeipBIR1crDSBtxg_s,OPERATIONAL,4.8,3.0,1039,"C/ d'Aragó, 95, Barcelona",41.382014,2.1512012,la Nova Esquerra de l'Eixample
858,Exotica,ChIJr17dxWGjpBIRzotiRRKXMfY,OPERATIONAL,4.9,,388,"Carrer de Calàbria, 204, Barcelona",41.38451999999999,2.1488159,la Nova Esquerra de l'Eixample
859,Tragaldabas Restaurante,ChIJm4G9fHujpBIR2S_-oY-m-yU,OPERATIONAL,4.6,,423,"C/ de Mallorca, 96, Barcelona",41.385372,2.1514798,la Nova Esquerra de l'Eixample
860,Los Valcas,ChIJpWaD6iqjpBIRl8dCP2rOWh0,OPERATIONAL,4.9,,139,"Provenza 97 Provenza 95, C/ de Provença, 93, Barcelona",41.3862336,2.1497438,la Nova Esquerra de l'Eixample
861,Restaurant El Plaer,ChIJU5GtaISipBIRFgmvvZ6X3BE,OPERATIONAL,3.8,,235,"Carrer del Comte d'Urgell, 198, Barcelona",41.3880743,2.1509733,l'Antiga Esquerra de l'Eixample
862,Restaurant La Grotte,ChIJNxe5XoSipBIREgsnxXMO8ss,OPERATIONAL,4.3,,216,"Passatge de Batlló, 1, Barcelona",41.3884246,2.15144,l'Antiga Esquerra de l'Eixample
863,Gusto Restaurant,ChIJU4u6ZoSipBIRweDTPlRgN4A,OPERATIONAL,4.4,2.0,2666,"C/ del Rosselló, 108, Barcelona",41.38832439999999,2.1508942,l'Antiga Esquerra de l'Eixample
864,Transilvania Bar Restaurant,ChIJCRWzAYSipBIR5-9n5fO5EGA,OPERATIONAL,4.6,1.0,1076,"C/ de Provença, 99, Barcelona",41.3863889,2.15,la Nova Esquerra de l'Eixample
