index,place_id,dine_in,reservable,serves_beer,serves_wine,vegeterian,takeout,wheel_chair_acc,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,mon_hours
2540,ChIJNWYtsu6ipBIRZKSUbKuZGV8,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,Closed,4:00PM–12:00AM,4:00PM–12:00AM,4:00PM–12:00AM,10:00AM–12:00AM,10:00AM–12:00AM,Closed
2541,ChIJ6UxT7euipBIR4eUEohFnV00,Yes,Maybe,No,No,Maybe,Yes,Yes,9:00AM–8:00PM,9:00AM–8:00PM,9:00AM–8:00PM,9:00AM–8:00PM,9:00AM–4:00PM,9:00AM–3:00PM,9:00AM–8:00PM
2542,ChIJTQCe5euipBIR3Fjf5HFrtts,No,Yes,No,No,No,No,Yes,"1:00–4:00PM, 7:30–11:00PM","1:00–4:00PM, 7:30–11:00PM","1:00–4:00PM, 7:30–11:00PM","1:00–4:00PM, 7:30–11:00PM","1:00–4:00PM, 7:30–11:00PM",Closed,"1:00–4:00PM, 7:30–11:00PM"
2543,ChIJzTiqH--ipBIRMtpJG2lHAy8,Yes,Yes,Yes,Yes,No,Maybe,Maybe,8:30AM–6:00PM,8:30AM–6:00PM,8:30AM–6:00PM,8:30AM–6:00PM,9:00AM–5:00PM,Closed,8:30AM–6:00PM
2544,ChIJxxMxQOmipBIRT8TXjvv7MGo,Yes,Yes,Yes,Yes,No,Yes,Yes,8:00AM–4:00PM,8:00AM–4:00PM,8:00AM–4:00PM,8:00AM–4:00PM,8:00AM–4:00PM,Closed,8:00AM–4:00PM
2545,ChIJ6Sl3DOmipBIRRQVPKhi_lzY,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM,1:00–11:30PM
2546,ChIJSz2qY-mipBIRc_GwdP7I0t8,Yes,Yes,No,No,Maybe,Yes,Yes,,,,,,,
2547,ChIJF9u_fOmipBIREu6xecXqWiU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1:00–11:00PM,1:00–11:00PM,1:00–11:00PM,1:00–11:00PM,1:00–11:00PM,1:00–11:00PM,Closed
2548,ChIJ5TETZeGjpBIR9Fjp3o4ZobM,Yes,Yes,Yes,Yes,No,Yes,Yes,9:00AM–11:00PM,9:00AM–11:00PM,9:00AM–11:00PM,9:00AM–11:00PM,9:00AM–11:00PM,9:00AM–10:00PM,1:00–11:00PM
2549,ChIJ67TY2euipBIRhKOwdXPxwyQ,Yes,No,Yes,Yes,Yes,Yes,Yes,9:30AM–5:00PM,9:30AM–5:00PM,9:30AM–5:00PM,9:30AM–5:00PM,9:30AM–5:00PM,9:30AM–5:00PM,9:30AM–5:00PM
2550,ChIJ0V3uGemipBIRAR-mXiPQOps,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,Closed,Closed,8:00AM–3:30PM,8:30AM–3:30PM,8:00AM–3:30PM,8:00AM–3:30PM,Closed
2551,ChIJO2PLaXujpBIRigxcDuLg6fo,Yes,Yes,Yes,Yes,Maybe,No,Yes,"1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM",Closed,Closed
2552,ChIJreSAcOmipBIRDi05jK4XCM0,Yes,Yes,Yes,Yes,No,Yes,Yes,1:00–4:00PM,1:00–4:00PM,"1:00–4:00PM, 8:30–11:00PM","1:00–4:00PM, 8:30–11:00PM","1:00–4:00PM, 8:30–11:00PM",1:00–4:00PM,Closed
2553,ChIJ4yDHOOmipBIRPCtPk1qhVmQ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8:30AM–11:00PM,8:30AM–11:00PM,8:30AM–11:00PM,8:30AM–11:00PM,9:30AM–11:00PM,9:30AM–11:00PM,8:30AM–11:00PM
2554,ChIJP40k2-mipBIRfxIUIsgOX2U,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:00AM–4:30PM,7:00AM–4:30PM,7:00AM–4:30PM,7:00AM–4:30PM,Closed,Closed,7:00AM–4:30PM
2555,ChIJ2VFMNlKjpBIR3G2uBRFiozU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1:00–4:30PM,"1:00–4:30PM, 7:00–10:30PM","1:00–4:30PM, 7:00–10:30PM","1:00–4:30PM, 7:00–10:30PM","1:00–4:30PM, 7:00–10:30PM",1:00–4:30PM,Closed
2556,ChIJO0dGBMKipBIRG4x5dASm34Y,Yes,Yes,Yes,Yes,No,Yes,Yes,"12:00–4:15PM, 8:00–10:50PM","12:00–4:15PM, 8:00–10:50PM","12:00–4:15PM, 8:00–10:50PM","12:00–4:15PM, 8:00–10:50PM","12:00–4:15PM, 8:00–10:50PM","12:00–4:15PM, 8:00–10:50PM",Closed
2557,ChIJUS_6-sGipBIR3TC_s2mgrFw,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,12:00PM–1:30AM,12:00PM–1:30AM,12:00PM–1:30AM,12:00PM–1:30AM,12:00PM–1:30AM,12:00PM–1:30AM,12:00PM–1:30AM
2558,ChIJl8YfjiejpBIRQOXfF5PsxU8,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,9:00AM–12:00AM,9:00AM–12:00AM,12:00–11:00PM
