index,place_id,dine_in,reservable,serves_beer,serves_wine,vegeterian,takeout,wheel_chair_acc,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,mon_hours
1202,ChIJWzwn-xKjpBIRFWnklFnexFs,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,9:00AM–4:00PM,9:00AM–4:00PM,9:00AM–4:00PM,9:00AM–4:00PM,Closed,Closed,9:00AM–4:00PM
1203,ChIJIwokvHSjpBIRQWIBViMaork,Yes,Yes,Yes,Yes,No,Maybe,Yes,"9:30AM–12:00PM, 1:00–4:00PM","9:30AM–12:00PM, 1:00–4:00PM","9:30AM–12:00PM, 1:00–4:00PM","9:30AM–12:00PM, 1:00–4:00PM","9:30AM–12:00PM, 1:00–4:00PM",Closed,Closed
1204,ChIJh3G995mipBIR6ub5C3Oqnx8,Yes,Yes,Yes,Yes,No,Yes,Yes,7:00AM–9:30PM,7:00AM–9:30PM,7:00AM–9:30PM,7:00AM–9:30PM,9:00AM–5:00PM,Closed,7:00AM–9:30PM
1205,ChIJOcx713aZpBIRq9cTlWZVn1A,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM
1206,ChIJyxEw2JmipBIR1yuBqHuSeTU,Yes,Yes,Yes,Yes,No,Yes,No,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–1:00AM,8:00AM–3:00AM,"1:00–5:00PM, 8:00PM–3:00AM","1:00–5:00PM, 8:00PM–12:00AM",8:00AM–12:00AM
1207,ChIJZcTVFpqipBIROZV-r3wBEbE,Yes,Yes,Yes,Yes,No,Yes,Yes,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–2:00AM,1:00PM–3:00AM,1:00PM–3:00AM,1:00PM–12:00AM,1:00PM–12:00AM
1208,ChIJPw0olIajpBIRpVYxOKdV6lA,Yes,Yes,Yes,Yes,No,Yes,Yes,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–3:00AM,8:00PM–3:00AM,6:00PM–2:30AM,12:00PM–2:30AM
1209,ChIJ-XZIpQyjpBIRtCOnX0uLAew,Yes,Yes,Yes,Yes,No,Yes,Yes,12:00–10:00PM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00–5:00PM,12:00–5:00PM
1210,ChIJU2yMmZmipBIRincP1doW8ak,Yes,Yes,Yes,Yes,No,Yes,Yes,"1:00–4:00PM, 8:00–10:30PM","1:00–4:00PM, 8:00–10:30PM","1:00–4:00PM, 8:00–10:30PM","1:00–4:00PM, 8:00–10:30PM",Closed,Closed,"1:00–4:00PM, 8:00–10:30PM"
1211,ChIJi_lidpmipBIRU5WqnfXI_2U,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"8:00AM–4:30PM, 8:00PM–12:30AM","8:00AM–4:30PM, 8:00PM–12:30AM","8:00AM–4:30PM, 8:00PM–12:30AM","8:00AM–4:30PM, 8:00PM–12:30AM",8:00PM–12:30AM,Closed,8:00AM–4:30PM
1212,ChIJAZQtmjijpBIRYn4lwqIKTuI,Yes,Yes,Yes,Yes,Yes,Yes,No,"12:00–5:00PM, 7:00–11:00PM","12:00–5:00PM, 7:00–11:00PM","12:00–5:00PM, 7:00–11:00PM","12:00–5:00PM, 7:00–11:00PM","12:00–5:00PM, 7:00–11:00PM","12:00–5:00PM, 7:00–11:00PM","12:00–5:00PM, 7:00–11:00PM"
1213,ChIJq6r6m5mipBIRMeKDTRyngG4,Yes,Yes,Yes,Yes,No,Yes,Maybe,8:30AM–10:00PM,8:30AM–10:00PM,8:30AM–10:00PM,8:30AM–12:00AM,11:00AM–12:00AM,12:00–5:00PM,8:30AM–10:00PM
1214,ChIJ0TetMpiipBIRnGGYVwim74M,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,8:30AM–4:30PM,8:30AM–4:30PM,8:30AM–4:30PM,8:30AM–4:30PM,9:30AM–4:00PM,9:30AM–4:00PM,8:30AM–4:30PM
1215,ChIJY9bGeoCjpBIRTu3n1YHRDUg,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Closed,1:00–11:30PM,1:00–11:30PM,1:00PM–12:00AM,1:00PM–12:00AM,1:00–11:00PM,1:00–11:30PM
1216,ChIJiS1FfJeipBIR37jCnVRR-90,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,8:00–11:00PM,8:00–11:00PM,"1:00–3:45PM, 8:00–11:00PM","1:00–3:45PM, 8:00–11:00PM","1:00–3:45PM, 8:00–11:00PM",Closed,Closed
1217,ChIJ0YbYj52ipBIRMEphbC3zMFk,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,"1:00–4:30PM, 7:30–11:30PM","1:00–4:30PM, 7:30–11:30PM","1:00–4:30PM, 7:30–11:30PM","1:00–4:30PM, 8:00PM–12:00AM","1:00–4:30PM, 8:00PM–12:00AM",1:00–4:30PM,Closed
1218,ChIJj7wnNJiipBIR2Po3kXvH7_s,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,9:00AM–1:00AM,9:00AM–1:00AM,7:00AM–1:00AM
1219,ChIJa0Y5HZiipBIROWRrQ0RCjVA,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,12:00PM–1:00AM,12:00PM–1:00AM,12:00PM–1:00AM,12:00PM–1:00AM,12:00PM–1:00AM,12:00PM–1:00AM,12:00PM–1:00AM
1220,ChIJtRRBLROjpBIR3Z3FVEBfz2g,Yes,No,Yes,Yes,Maybe,Yes,Maybe,11:00AM–10:00PM,11:00AM–10:00PM,11:00AM–10:30PM,11:00AM–10:30PM,11:00AM–10:30PM,11:00AM–10:30PM,11:00AM–10:00PM
1221,ChIJ6VTOQZiipBIRh0dTDU2AR9c,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,,,,,,,
1222,ChIJf7weagOjpBIRrVzWhsBLpXs,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,"12:30–4:30PM, 8:00–11:00PM","12:30–4:30PM, 8:00–11:00PM","12:30–4:30PM, 8:00–11:00PM","12:30–4:30PM, 8:00–11:30PM","12:30–4:30PM, 8:00–11:30PM","12:30–4:30PM, 8:00–11:00PM","12:30–4:30PM, 8:00–11:00PM"
1223,ChIJBVEFn6KipBIRzU1sb_VhEJQ,Yes,Maybe,Yes,No,No,Yes,Yes,8:00AM–1:30AM,8:00AM–1:30AM,8:00AM–1:30AM,8:00AM–2:30AM,8:00AM–2:30AM,8:00AM–1:30AM,8:00AM–1:30AM
1224,ChIJGbGJr6KipBIRBEFM2EFui_E,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Closed,1:00–4:00PM,1:00–4:00PM,"1:00–4:00PM, 8:30–11:00PM","1:00–4:30PM, 8:30–11:00PM",1:00–4:30PM,1:00–4:00PM
1225,ChIJJUDOpWejpBIR_vmjZWgT1Rs,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,"1:30–3:30PM, 7:30–11:00PM","1:30–3:30PM, 7:30–11:00PM","1:30–3:30PM, 7:30–11:00PM","1:30–4:00PM, 7:30–11:30PM",1:30–11:30PM,1:30–10:30PM,Closed
1226,ChIJ61bgsaKipBIRAHi03ImrfMw,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,1:00–5:00PM,"1:00–5:00PM, 7:30–11:30PM","1:00–5:00PM, 7:30PM–12:00AM","1:00–5:00PM, 7:30PM–1:00AM","1:00–5:00PM, 8:00PM–1:00AM",1:00–5:00PM,Closed
1227,ChIJ_UZbmqKipBIROsiCAsTX3sI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1:00–10:00PM,1:00–10:00PM,1:00–10:00PM,1:00–10:30PM,1:00–10:30PM,Closed,1:00–10:00PM
1228,ChIJ-1dOYr2ipBIRxkvnQxwOUSE,Yes,No,Yes,Yes,No,Yes,Yes,Closed,"1:00–5:00PM, 8:30–11:00PM","1:00–5:00PM, 8:30–11:30PM","1:00–5:00PM, 8:30–11:30PM","1:00–5:00PM, 8:30–11:30PM","1:00–5:00PM, 8:30–11:00PM",1:00–5:00PM
1229,ChIJXwkQ6KKipBIRm2cFZ50qg8I,Yes,No,Yes,Yes,Yes,Yes,Yes,12:30–11:00PM,12:30–11:00PM,12:30–11:00PM,12:30–11:30PM,12:30–11:30PM,12:30–11:00PM,12:30–11:00PM
1230,ChIJ3-70DbGjpBIRDcxpZgiQFmw,Yes,Maybe,No,No,Yes,Yes,Yes,10:45AM–10:00PM,10:45AM–10:00PM,10:45AM–10:30PM,10:45AM–10:30PM,10:45AM–10:30PM,10:45AM–10:30PM,10:45AM–10:00PM
1231,ChIJT75r7qKipBIR_6KuxX2my0M,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–1:00AM,1:00PM–1:00AM,1:00PM–12:00AM,1:00PM–12:00AM
1232,ChIJBV5Trg6jpBIR2Hb0GYBRR3s,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Yes,9:00AM–9:00PM,9:00AM–9:00PM,9:00AM–9:00PM,9:00AM–9:00PM,9:00AM–9:00PM,9:00AM–9:00PM,9:00AM–9:00PM
1233,ChIJEV4yw6KipBIRIJQ9UMlIU_k,Yes,No,No,No,Maybe,Yes,Yes,1:00–11:00PM,1:00–11:00PM,1:00–11:00PM,1:00PM–12:00AM,1:00PM–12:00AM,6:00–11:00PM,1:00–11:00PM
1234,ChIJlUTdlPejpBIRL60sj01Qojc,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,1:00–10:00PM,1:00–10:00PM,1:00–10:00PM,1:00–10:00PM,1:00–10:00PM,1:00–10:00PM,1:00–10:00PM
1235,ChIJXfNnS6OipBIRJ8TxY1JBl4I,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,"12:00–4:00PM, 7:00PM–12:00AM","12:00–4:00PM, 7:00PM–12:00AM","12:00–4:00PM, 7:00PM–12:00AM","12:00–4:00PM, 7:00PM–12:00AM","12:00–4:00PM, 7:00PM–12:00AM",Closed,"12:00–4:00PM, 7:00PM–12:00AM"
1236,ChIJRYCjsbyipBIRCMFV6z8hy_0,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,7:00PM–12:00AM,7:00PM–12:00AM,7:00PM–12:00AM,7:00PM–1:00AM,7:00PM–1:00AM,Closed,Closed
1237,ChIJF6YME3GjpBIRBqwyXJg16Qs,Yes,Yes,Maybe,Yes,Yes,Yes,Maybe,"1:00–5:00PM, 8:00–11:30PM","1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–12:00AM",Closed
1238,ChIJf9Ox5mujpBIRmIZmaYt1yeo,Yes,Maybe,Yes,Maybe,Yes,Yes,Yes,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM
1239,ChIJoZY0BdOjpBIRBcs2kw1LzJk,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM
1240,ChIJdc_fG9ujpBIRkjwtiF2Y8Xk,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,"12:00–4:30PM, 7:00–11:30PM","12:00–4:30PM, 7:00–11:30PM","12:00–4:30PM, 7:00–11:30PM","12:00–4:30PM, 7:00–11:30PM","12:00–4:30PM, 7:00–11:30PM",Closed,"12:00–4:30PM, 7:00–11:30PM"
1241,ChIJq1pU16KipBIR5Z4Gcg1bHeI,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:00AM–12:00AM,7:00AM–12:00AM,7:00AM–12:00AM,7:00AM–12:00AM,8:00AM–1:00AM,Closed,7:00AM–12:00AM
1242,ChIJpx_asJqjpBIRODe_Jctw1zk,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Closed,7:00PM–12:00AM,7:00PM–12:00AM,5:00PM–1:00AM,12:30PM–1:00AM,12:30–11:00PM,Closed
1243,ChIJPfDI3bqipBIRjgWxclrllwE,Yes,Maybe,Yes,Yes,No,Yes,No,7:30AM–3:30PM,7:30AM–3:30PM,7:30AM–3:30PM,7:30AM–3:30PM,8:00AM–12:30PM,Closed,7:30AM–3:30PM
1244,ChIJj2fjVzOjpBIRLKRYnWPMzVw,Yes,Yes,Yes,Yes,Yes,Yes,No,"1:00–4:00PM, 8:00PM–12:00AM","1:00–4:00PM, 8:00PM–12:00AM","1:00–4:00PM, 8:00PM–12:00AM","1:00–4:00PM, 8:00PM–1:00AM","1:00–5:00PM, 8:00PM–1:00AM",Closed,"1:00–4:00PM, 8:00PM–12:00AM"
1245,ChIJ3YHt3LqipBIR1l88jcRe7HQ,Yes,Maybe,Yes,Yes,No,Yes,Maybe,,,,,,,
1246,ChIJb_m3sbqipBIRvP2QtwdMOdg,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:00AM–10:00PM,7:00AM–10:00PM,7:00AM–10:00PM,7:00AM–11:00PM,7:00AM–11:00PM,Closed,7:00AM–10:00PM
1247,ChIJvfpdVaSipBIRiJ_qBwddXcc,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,8:00AM–9:30PM,8:00AM–9:30PM,8:00AM–9:30PM,8:00AM–9:30PM,8:00AM–9:30PM,8:00AM–9:30PM,8:00AM–9:30PM
1248,ChIJKZCbS6WipBIRm8ynZwFws-U,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,6:45AM–5:00PM,6:45AM–5:00PM,6:45AM–5:00PM,6:45AM–5:00PM,Closed,Closed,6:45AM–5:00PM
1249,ChIJC26WR7mjpBIR9LDI4pkcLPA,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,,,,,,,
1250,ChIJKyMr3q-ipBIR_fKaRHCYkMg,Yes,Maybe,Yes,Yes,No,Yes,Maybe,,,,,,,
1251,ChIJlTPcDGWipBIRu328yu9U8EI,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,7:00AM–6:00PM,7:00AM–6:00PM,7:00AM–6:00PM,7:00AM–6:00PM,7:00AM–6:00PM,Closed,7:00AM–6:00PM
1252,ChIJ9_oDn2WipBIRWZcN-tNK38s,Yes,Yes,Yes,Yes,No,Maybe,No,7:30PM–12:00AM,7:30PM–12:00AM,7:30PM–12:00AM,7:30PM–12:00AM,"1:00–5:00PM, 8:00PM–12:00AM",1:00–5:00PM,Closed
1253,ChIJa0dOlmWipBIRGbZcdvWu6yc,Yes,Maybe,Yes,Yes,No,Yes,Maybe,7:30AM–11:00PM,7:30AM–11:00PM,7:30AM–11:00PM,7:30AM–11:00PM,7:30AM–12:00AM,Closed,7:30AM–11:00PM
1254,ChIJM6bD_GSipBIR8SI2k9TPHfk,Yes,Yes,Yes,Yes,Yes,No,Maybe,1:00–5:00PM,1:00–5:00PM,1:00–5:00PM,1:00–5:00PM,1:00–5:00PM,1:00–5:00PM,Closed
1255,ChIJCaeDRFWjpBIR32SkItfSrg0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Closed,"1:00–4:00PM, 7:30–10:30PM","1:00–4:00PM, 7:30–10:30PM","1:00–4:00PM, 7:30–10:30PM","1:00–4:00PM, 7:30–10:30PM","1:00–4:00PM, 7:30–10:30PM","1:00–4:00PM, 7:30–10:30PM"
1256,ChIJa3n9OlCjpBIRpjIjI80pHP8,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,Closed,"12:30–3:30PM, 8:00–11:30PM","12:30–3:30PM, 8:00–11:30PM","12:30–3:30PM, 8:00–11:30PM","12:30–3:30PM, 8:00–11:30PM","12:30–3:30PM, 8:00–11:30PM",Closed
1257,ChIJwcMDF86jpBIR__E_Fh-BvIw,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM
1258,ChIJEZknO2WipBIRHhtzH53sgoo,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,5:00–11:30PM,5:00–11:30PM,5:00PM–12:00AM,5:00PM–12:00AM,1:00PM–12:00AM,12:30–11:30PM,5:00PM–12:00AM
1259,ChIJ4fBvknKjpBIR5hEjhJwbFJw,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Yes,,,,,,,
1260,ChIJr7CZ3mSipBIRxbWcjai5sZ4,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,1:00–4:00PM,"1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM"
1261,ChIJO9owsWSipBIR1C8wCq8yhwQ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"1:00–4:00PM, 7:30PM–12:00AM","1:00–4:00PM, 7:30PM–12:00AM","1:00–4:00PM, 7:30PM–12:00AM","1:00–4:00PM, 7:30PM–12:00AM","1:00–4:00PM, 7:30PM–12:00AM","1:00–4:00PM, 7:30PM–12:00AM","1:00–4:00PM, 7:30PM–12:00AM"
1262,ChIJzcgqjWSipBIRDxpAgYwB9Og,Yes,Yes,Yes,Yes,No,Yes,Yes,"1:00–4:00PM, 8:00PM–12:00AM","1:00–4:00PM, 8:00PM–12:00AM","1:00–4:00PM, 8:00PM–12:00AM","1:00–4:00PM, 8:00PM–12:00AM","1:00–4:30PM, 8:00PM–12:00AM","1:00–4:30PM, 8:00PM–12:00AM","1:00–4:00PM, 8:00PM–12:00AM"
1263,ChIJz4NpsWSipBIRW0hPUwi2QP8,Yes,Maybe,Yes,Yes,No,Yes,Maybe,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,Closed
1264,ChIJbwDu3mSipBIRfelotd5zqiM,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,,,,,,,
1265,ChIJ9ag3vEOjpBIROSPmRnYlUV4,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Closed,10:00AM–4:00PM,1:00–11:00PM,1:00–11:00PM,10:00AM–11:00PM,10:00AM–4:00PM,Closed
1266,ChIJMzEt72ajpBIRd0G1Ck8Dxjw,Yes,Yes,Yes,Yes,No,Yes,Maybe,5:00PM–12:30AM,5:00PM–12:30AM,5:00PM–12:30AM,5:00PM–1:00AM,1:00PM–1:00AM,1:00PM–12:30AM,1:00PM–12:30AM
1267,ChIJV6HoUXuipBIRXLZo6zqpXRo,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,"1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM",Closed,Closed
1268,ChIJ04Z4Uq6jpBIRVSvVM1dFOPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7:30–10:30PM,7:30–10:30PM,7:30–10:30PM,7:30–10:30PM,7:30–10:30PM,7:30–10:30PM,Closed
1269,ChIJO9owsWSipBIRf-JulC3ReCY,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,7:00–11:00PM,"12:00–4:30PM, 7:00–11:00PM","12:00–4:30PM, 7:00–11:00PM",12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,7:00–11:00PM
1270,ChIJ-_wjBGOipBIRQ8H0f5kpEy8,Yes,Yes,Yes,Yes,No,Yes,Maybe,"1:00–4:00PM, 8:00–11:45PM","1:00–4:00PM, 8:00–11:45PM","1:00–4:00PM, 8:00–11:45PM","1:00–4:00PM, 8:00–11:45PM","1:00–4:00PM, 8:00–11:45PM","1:00–4:00PM, 8:00–11:45PM","1:00–4:00PM, 8:00–11:45PM"
1271,ChIJPbdtq5yjpBIRwa8Sn6zcxG0,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Closed,"1:00–3:30PM, 8:00PM–12:00AM","1:00–3:30PM, 8:00PM–12:00AM","1:00–5:30PM, 8:00PM–12:00AM",1:00PM–12:00AM,1:00PM–12:00AM,"1:00–3:30PM, 8:00PM–12:00AM"
1272,ChIJEawWgGSipBIRaUFTX2d5X5Q,Yes,Yes,Yes,Yes,No,Yes,Yes,7:00–11:00PM,7:00–11:00PM,7:00–11:00PM,7:00–11:00PM,"1:00–4:30PM, 7:00–11:00PM",1:00–4:30PM,Closed
1273,ChIJDy_NM2OipBIRNIFeSWY87zg,Yes,No,Yes,Yes,Maybe,Yes,Maybe,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,Closed,8:00AM–12:00AM
1274,ChIJV1CutnyipBIRibw1dm7hSWc,Yes,Yes,Yes,Yes,Maybe,Yes,No,"1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM","1:30–3:30PM, 8:00–10:30PM",Closed,Closed
1275,ChIJabhApWOipBIRB4ZV-839cCU,Yes,Yes,Yes,Yes,No,Yes,Yes,7:30AM–9:30PM,7:30AM–9:30PM,7:30AM–9:30PM,7:30AM–11:30PM,7:30AM–4:00PM,Closed,7:30AM–9:30PM
1276,ChIJlaxSH2OipBIRTys2nZ4lJnc,Yes,Yes,Yes,Yes,No,Yes,Yes,"1:00–4:00PM, 8:30–11:00PM","1:00–4:00PM, 8:30–11:00PM","1:00–4:00PM, 8:30–11:00PM","1:00–4:00PM, 8:30–11:00PM","1:00–4:00PM, 8:30–11:30PM",1:00–4:00PM,Closed
1277,ChIJq6qaUWOipBIRTYg9NZStUHk,Yes,No,Yes,Yes,Yes,Yes,Maybe,Closed,"12:00–4:30PM, 7:30PM–12:00AM","12:00–4:30PM, 7:30PM–12:00AM","12:00–4:30PM, 7:30PM–12:00AM","12:00–4:30PM, 7:30PM–12:00AM","12:00–4:30PM, 7:30PM–12:00AM","12:00–4:30PM, 7:30PM–12:00AM"
1278,ChIJCa5e_WKipBIRqgo84xotYbk,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,7:30AM–4:30PM,7:30AM–4:30PM,7:30AM–4:30PM,7:30AM–4:30PM,Closed,Closed,7:30AM–4:30PM
1279,ChIJwYCQO4GjpBIR9EA6EoKyHHY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"1:00–4:00PM, 7:00–11:00PM",7:30–11:00PM,"1:00–4:00PM, 7:00–11:00PM","1:00–4:00PM, 7:00–11:00PM","1:00–4:00PM, 7:00–11:00PM","1:00–4:00PM, 7:00–11:00PM",Closed
1280,ChIJdUs3umKipBIR1YY4-E1NE20,Yes,Yes,Yes,Yes,No,Yes,Yes,12:30–11:30PM,12:30–11:30PM,12:30–11:30PM,12:30–11:30PM,1:00–11:30PM,1:00–11:30PM,12:00–5:00PM
1281,ChIJP8fvHFejpBIRkxLNHYFMScA,Yes,Yes,Yes,Yes,Yes,Yes,No,8:00–11:30PM,"1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM",Closed,8:00–11:30PM
1282,ChIJ5dR1xmKipBIRDhHf8MSC5H8,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Yes,6:00AM–3:00AM,6:00AM–3:00AM,6:00AM–3:00AM,6:00AM–3:00AM,6:00AM–3:00AM,6:00AM–3:00AM,6:00AM–3:00AM
1283,ChIJkyhTxGKipBIRgisgL8ofDAM,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,"12:30–4:30PM, 7:30–11:30PM","12:30–4:30PM, 7:30–11:30PM","12:30–4:30PM, 7:30–11:30PM","12:30–4:30PM, 7:30–11:30PM","12:30–4:30PM, 7:30–11:30PM",7:30–11:30PM,"12:30–4:30PM, 7:30–11:30PM"
1284,ChIJI8RNJFKjpBIRU2e1phv_sdo,Yes,Yes,Yes,Yes,No,No,Yes,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–3:00AM
1285,ChIJwZyR_sqjpBIRKQMASwmKf3Y,Yes,Yes,Yes,Yes,No,Yes,Yes,Closed,10:00AM–12:00AM,10:00AM–12:00AM,10:00AM–12:00AM,9:00AM–12:00AM,9:00AM–12:00AM,10:00AM–12:00AM
1286,ChIJ-ZylVn2ipBIRTYaagGb32JQ,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,6:00AM–11:30PM,6:00AM–11:30PM,6:00AM–11:30PM,6:00AM–11:30PM,11:00AM–11:30PM,11:00AM–11:30PM,6:00AM–11:30PM
1287,ChIJIdzrUH2ipBIR5qvvQ_iFqso,Yes,Maybe,Yes,Yes,Yes,Yes,No,10:00AM–12:00AM,10:00AM–12:00AM,11:00AM–12:00AM,10:00AM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,10:00AM–12:00AM
1288,ChIJ0Vcyp_6ipBIR1QZsMnurb2s,Yes,Yes,Maybe,Yes,No,No,Yes,8:00PM–12:00AM,8:00PM–12:00AM,8:00PM–12:00AM,8:00PM–12:00AM,8:00PM–12:00AM,Closed,8:00PM–12:00AM
1289,ChIJoU5LpmKipBIR89cz26qhHHA,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,"12:30–4:00PM, 7:30–11:00PM","12:30–4:00PM, 7:30–11:00PM","12:30–4:00PM, 7:30–11:00PM","12:30–4:00PM, 7:30–11:00PM","12:30–4:00PM, 7:30–11:00PM",12:30–4:00PM,Closed
1290,ChIJ67W4oWKipBIRDFDfhn3C6H4,Yes,Yes,Yes,Yes,No,Yes,Yes,"12:00–4:30PM, 7:30–11:00PM","12:00–4:30PM, 7:30–11:00PM","12:00–4:30PM, 7:30–11:00PM","12:00–4:30PM, 7:30PM–12:00AM","12:00–4:30PM, 8:00PM–12:00AM","12:00–4:30PM, 8:00PM–12:00AM","12:00–4:30PM, 7:30–11:00PM"
1291,ChIJSfJUkoeipBIRU0Nm5DOvfuY,Yes,Yes,Yes,Yes,Yes,No,Yes,8:30PM–12:00AM,"1:00–5:00PM, 8:30PM–12:00AM","1:00–5:00PM, 8:30PM–12:00AM","1:00–5:00PM, 8:30PM–12:00AM","1:00–5:00PM, 8:30PM–12:00AM",Closed,Closed
1292,ChIJq8WeBIiipBIRr-nvd4TE_e0,Yes,No,Yes,Yes,Yes,Yes,Yes,9:00AM–4:30PM,9:00AM–4:30PM,9:00AM–4:30PM,9:00AM–4:30PM,9:00AM–4:30PM,9:00AM–4:30PM,9:00AM–4:30PM
1293,ChIJ5yI6ToiipBIRraUxK9jPhCA,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:30AM–12:00AM,7:30AM–12:00AM,7:30AM–12:00AM,7:30AM–1:00AM,7:45AM–1:00AM,9:00AM–1:00AM,7:30AM–12:00AM
1294,ChIJozvmUYiipBIR6WdSHMsuhdE,Yes,Maybe,Yes,Yes,No,Yes,Yes,7:00AM–10:00PM,7:00AM–10:00PM,7:00AM–10:00PM,7:00AM–10:00PM,8:00AM–4:00PM,Closed,7:00AM–10:00PM
